source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[data file]	comment[instrument]	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	factor value[organism]
PXD067119-sample-44	Homo sapiens	plasma	1	not available	not available	not available	run 44	proteomic profiling by mass spectrometry	EXP23151_2023ms1324bX62_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-45	Homo sapiens	plasma	1	not available	not available	not available	run 45	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX35_B.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-46	Homo sapiens	plasma	1	not available	not available	not available	run 46	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX76_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-47	Homo sapiens	plasma	1	not available	not available	not available	run 47	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX58_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-48	Homo sapiens	plasma	1	not available	not available	not available	run 48	proteomic profiling by mass spectrometry	EXP23151_2023ms1324bX54_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-49	Homo sapiens	plasma	1	not available	not available	not available	run 49	proteomic profiling by mass spectrometry	EXP23151_2023ms1324aX31_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-50	Homo sapiens	plasma	1	not available	not available	not available	run 50	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX45_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-51	Homo sapiens	plasma	1	not available	not available	not available	run 51	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX3_B.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-52	Homo sapiens	plasma	1	not available	not available	not available	run 52	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX17_B.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-53	Homo sapiens	plasma	1	not available	not available	not available	run 53	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX74_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
